,Unnamed: 0,WellName,y_pred_1_date,y_pred_1_value,y_ture_1_date,y_true_1_value,y_pred_2_date,y_pred_2_value,y_ture_2_date,y_true_2_value,y_pred_3_date,y_pred_3_value,y_ture_3_date,y_true_3_value,y_pred_4_date,y_pred_4_value,y_ture_4_date,y_true_4_value,y_pred_5_date,y_pred_5_value,y_ture_5_date,y_true_5_value,rmse
115,115,MW-94d,2016-12-31,0.7020592414713982,2017,2.65,2017-12-31,1.1061777244141946,2018,2.5,2018-12-31,1.7123554488283892,2019,2.75,2019-12-31,2.520592414713982,2020,2.9,2020-12-31,3.530888622070973,2020-11-10,2.8,1.4984136485755368
116,116,580 Allison,2004-12-31,63.888778282398064,2003-10-31,0.5,2005-12-31,75.05344868389473,2003-10-31,0.5,2006-12-31,87.94534684433273,2003-10-31,0.5,2007-12-31,102.7106610359782,2003-10-31,0.5,2008-12-31,119.54447776146472,2012-03-27,10.0,7934.0108889932935
117,117,MW-20,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-10-16,0.5,0.0
118,118,MW-52d,2016-12-31,0.5000461849996574,2017,0.5,2017-12-31,0.5000323294997602,2018,0.5,2018-12-31,0.500018473999863,2019,0.5,2019-12-31,0.5000046184999658,2020,0.5,2020-12-31,0.5000508034996232,2020-09-21,0.5,1.2243731069852716e-09
119,119,MW-125,2016-12-31,118.19831974861442,2017,235.0,2017-12-31,90.78937017496374,2018,172.75,2018-12-31,73.33333333333333,2019,212.5,2019-12-31,73.3486377342423,2020,194.5,2020-12-31,73.33333333333333,2020-12-08,240.0,16436.59376372026
120,120,2819 Dexter Rd,2016-12-31,373.7241969872241,2017,257.5,2017-12-31,290.2811905372321,2018,197.5,2018-12-31,199.85455905334427,2019,157.5,2019-12-31,102.62317882173576,2020,165.0,2020-12-31,0.0,2020-10-29,180.0,12040.237955147923
121,121,MW-63i,2014-12-31,0.5,2015,0.5,2015-12-31,0.5,2016,0.5,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,0.0
122,122,5115 Jackson Rd,2012-12-31,0.5,2013,0.5,2013-12-31,0.5,2014,0.5,2014-12-31,0.5,2015,0.5,2015-12-31,0.5,2016,0.5,2016-12-31,0.5,2017,0.5,0.0
123,123,MW-45s,2016-12-31,5.0,2017,11.0,2017-12-31,5.0,2018,4.85,2018-12-31,5.0,2019,3.4,2019-12-31,5.0,2020,1.2000000000000002,2020-12-31,5.0,2020-11-12,1.1,13.6465
124,124,MW-83s,2016-12-31,360.0,2017,385.0,2017-12-31,450.0,2018,400.0,2018-12-31,384.17365374026673,2019,450.0,2019-12-31,318.34730748053346,2020,440.0,2020-12-31,298.34730748053346,2020-11-05,450.0,9051.204921509207
125,125,MW-25d,2013-12-31,266.7189508572618,2012-08-02,135.0,2014-12-31,266.7189508572618,2015,110.0,2015-12-31,266.7189508572618,2016,48.0,2016-12-31,266.7189508572618,2017,125.0,2017-12-31,266.7189508572618,2018,120.0,26271.880521915697
126,126,MW-65d,2016-12-31,27.89986799625481,2017,22.0,2017-12-31,27.17129125378621,2018,21.5,2018-12-31,26.429561307552586,2019,20.0,2019-12-31,25.67446136147369,2020,20.0,2020-12-31,24.90558387875004,2020-11-19,20.0,32.91510208007823
127,127,MW-KD-1d,2016-12-31,224.3525881141132,2017,187.5,2017-12-31,260.03061864190533,2018,232.5,2018-12-31,290.0522156779296,2019,290.0,2019-12-31,319.4363437218715,2020,355.0,2020-12-31,341.2039223421902,2020-10-28,390.0,1152.3763565294798
128,128,MW-63s,2014-12-31,0.5,2015,0.5,2015-12-31,0.5,2016,0.5,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,1.6666666666666667,2018-12-31,0.5,2019,0.5,0.27222222222222225
129,129,4601 Park 6 inch,2016-12-31,1.0,2017,1.8,2017-12-31,1.0,2018,1.25,2018-12-31,1.0,2019,1.65,2019-12-31,1.0,2020,1.05,2020-12-31,1.0,2020-12-07,0.5,0.27549999999999997
130,130,MW-40d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-08-10,0.5,0.0
131,131,305 Pinewood,2006-12-31,0.5,2007,0.5,2007-12-31,0.5,2008,0.5,2008-12-31,0.5,2009,0.5,2009-12-31,0.5,2010,0.875,2010-12-31,0.5,2011,3.0,1.278125
132,132,Saginaw Forest Cabin #1,2016-12-31,12.0,2017,6.0,2017-12-31,10.0,2018,0.5,2018-12-31,7.0,2019,0.5,2019-12-31,4.0,2020,0.5,2020-12-31,1.0,2020-12-08,0.5,36.2
133,133,430 Barber East,2007-12-31,4.545510186590561,2008,0.5,2008-12-31,4.3375,2009,0.5,2009-12-31,4.3375,2010,0.5,2010-12-31,4.3375,2011,22.0,2011-12-31,4.3375,2011-09-26,22.0,133.94935553396164
134,134,AMW-2,2015-12-31,11.904550503402044,2016,150.0,2016-12-31,5.953746847293933,2017,84.0,2017-12-31,4.0,2018,95.0,2018-12-31,4.0,2019,68.0,2019-12-31,4.0,2020,180.0,13702.914160568744
135,135,MW-1,2008-12-31,53.0,2009,445.0,2009-12-31,57.0,2010,805.0,2010-12-31,0.5,2011,1454.0,2011-12-31,0.5,2012,1995.0,2012-12-31,3.0,2012-08-10,2021.0,2175236.9
136,136,MW-400 Clarendon,2011-12-31,0.5,2011-11-15,0.5,2012-12-31,0.5,2013,0.5,2013-12-31,0.5,2013-08-20,0.5,2014-12-31,0.5,2015,0.5,2015-12-31,0.5,2015-08-04,0.5,0.0
137,137,MW-BE-1d,2016-12-31,1434.674372821478,2017,595.0,2017-12-31,7842.891801036745,2018,610.0,2018-12-31,40257.9816602794,2019,622.5,2019-12-31,212927.48076071008,2020,530.0,2020-12-31,1139045.734545178,2020-10-22,590.0,268563628107.11945
138,138,3563 ELIZABETH RD,2016-12-31,2.0,2017,2.0,2017-12-31,2.0,2018,2.0,2018-12-31,2.0,2019,2.0,2019-12-31,2.0,2020,2.0,2020-12-31,2.0,2020-08-24,2.0,0.0
139,139,MW-62s,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-11-20,0.5,0.0
140,140,333 Jackson Plaza,2007-12-31,0.0,2008,28.0,2008-12-31,0.0,2009,25.0,2009-12-31,0.0,2010,19.0,2010-12-31,0.0,2011,19.0,2011-12-31,0.0,2011-08-09,19.0,498.4
141,141,MW-87d,2013-12-31,644.7076002137163,2014,610.0,2014-12-31,641.41744403251,2015,520.0,2015-12-31,638.1293920005451,2016,288.0,2016-12-31,634.8432950905478,2017,290.0,2017-12-31,631.5589937588444,2017-02-02,290.0,74823.36975142304
142,142,MW-41d,2016-12-31,28.0,2017,27.0,2017-12-31,28.0,2018,24.5,2018-12-31,28.0,2019,20.0,2019-12-31,28.0,2020,20.0,2020-12-31,28.0,2020-12-16,18.0,48.25
143,143,MW-112i,2016-12-31,6.260851567890238,2017,9.308333333333332,2017-12-31,6.509868161403194,2018,9.658333333333337,2018-12-31,6.768789040806399,2019,9.9,2019-12-31,7.038008135185511,2020,9.516666666666667,2020-12-31,7.318717059783714,2020-12-04,14.0,15.957549992689774
144,144,MW-47s,2011-12-31,0.5000016264894392,2012,0.5,2012-12-31,0.4999999832012265,2013,0.5,2013-12-31,0.5000000170598818,2014,0.5,2014-12-31,0.499999996067504,2015,0.5,2015-12-31,0.4999999925344287,2015-11-13,0.5,5.292224667218879e-13
145,145,MW-112s,2016-12-31,0.8397002848463462,2017,0.5,2017-12-31,0.8952651740357824,2018,0.5,2018-12-31,0.9168718835522364,2019,0.5,2019-12-31,0.9135913150194952,2020,0.5416666666666666,2020-12-31,0.9797383046093224,2020-12-04,0.5,0.1627779587176835
146,146,MW-61s,2016-12-31,15.000000000000004,2017,11.5,2017-12-31,15.000000000000004,2018,8.1,2018-12-31,15.000000000000004,2019,5.3,2019-12-31,15.000000000000004,2020,3.4,2020-12-31,15.000000000000004,2020-12-14,3.0,86.50200000000007
147,147,MW-42d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-08-07,0.5,0.0
148,148,MW-62i,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-11-20,0.5,0.0
149,149,354 Pinewood,2007-12-31,3.871811626057193,2008,3.0,2008-12-31,3.869016286567279,2009,2.0,2009-12-31,2.432826252705497,2010,0.5,2010-12-31,2.302376937973291,2011,0.5,2011-12-31,2.2975452960250013,2012,0.5,2.8937652863458774
150,150,MW-84d,2011-12-31,0.5,2012,0.5,2012-12-31,0.5,2012-01-06,0.5,2013-12-31,0.5,2014,2.0,2014-12-31,0.5,2015,3.0,2015-12-31,0.5,2015-07-06,3.0,2.95
151,151,MW-82s,2016-12-31,419.59746224327097,2017,370.0,2017-12-31,653.200705458662,2018,320.0,2018-12-31,890.8796184029555,2019,360.0,2019-12-31,1132.7053091802622,2020,340.0,2020-12-31,1378.7617862986533,2020-09-08,340.0,420544.7086983469
